"species_id","palette","file","success"
"1","regular","gen1\regular\001.png","True"
"1","shiny","gen1\shiny\001.png","True"
"2","regular","gen1\regular\002.png","True"
"2","shiny","gen1\shiny\002.png","True"
"3","regular","gen1\regular\003.png","True"
"3","shiny","gen1\shiny\003.png","True"
"4","regular","gen1\regular\004.png","True"
"4","shiny","gen1\shiny\004.png","True"
"5","regular","gen1\regular\005.png","True"
"5","shiny","gen1\shiny\005.png","True"
"6","regular","gen1\regular\006.png","True"
"6","shiny","gen1\shiny\006.png","True"
"7","regular","gen1\regular\007.png","True"
"7","shiny","gen1\shiny\007.png","True"
"8","regular","gen1\regular\008.png","True"
"8","shiny","gen1\shiny\008.png","True"
"9","regular","gen1\regular\009.png","True"
"9","shiny","gen1\shiny\009.png","True"
"10","regular","gen1\regular\010.png","True"
"10","shiny","gen1\shiny\010.png","True"
"11","regular","gen1\regular\011.png","True"
"11","shiny","gen1\shiny\011.png","True"
"12","regular","gen1\regular\012.png","True"
"12","shiny","gen1\shiny\012.png","True"
"13","regular","gen1\regular\013.png","True"
"13","shiny","gen1\shiny\013.png","True"
"14","regular","gen1\regular\014.png","True"
"14","shiny","gen1\shiny\014.png","True"
"15","regular","gen1\regular\015.png","True"
"15","shiny","gen1\shiny\015.png","True"
"16","regular","gen1\regular\016.png","True"
"16","shiny","gen1\shiny\016.png","True"
"17","regular","gen1\regular\017.png","True"
"17","shiny","gen1\shiny\017.png","True"
"18","regular","gen1\regular\018.png","True"
"18","shiny","gen1\shiny\018.png","True"
"19","regular","gen1\regular\019.png","True"
"19","shiny","gen1\shiny\019.png","True"
"20","regular","gen1\regular\020.png","True"
"20","shiny","gen1\shiny\020.png","True"
"21","regular","gen1\regular\021.png","True"
"21","shiny","gen1\shiny\021.png","True"
"22","regular","gen1\regular\022.png","True"
"22","shiny","gen1\shiny\022.png","True"
"23","regular","gen1\regular\023.png","True"
"23","shiny","gen1\shiny\023.png","True"
"24","regular","gen1\regular\024.png","True"
"24","shiny","gen1\shiny\024.png","True"
"25","regular","gen1\regular\025.png","True"
"25","shiny","gen1\shiny\025.png","True"
"26","regular","gen1\regular\026.png","True"
"26","shiny","gen1\shiny\026.png","True"
"27","regular","gen1\regular\027.png","True"
"27","shiny","gen1\shiny\027.png","True"
"28","regular","gen1\regular\028.png","True"
"28","shiny","gen1\shiny\028.png","True"
"29","regular","gen1\regular\029.png","True"
"29","shiny","gen1\shiny\029.png","True"
"30","regular","gen1\regular\030.png","True"
"30","shiny","gen1\shiny\030.png","True"
"31","regular","gen1\regular\031.png","True"
"31","shiny","gen1\shiny\031.png","True"
"32","regular","gen1\regular\032.png","True"
"32","shiny","gen1\shiny\032.png","True"
"33","regular","gen1\regular\033.png","True"
"33","shiny","gen1\shiny\033.png","True"
